	conditions
BT549_LNBio	Triple
BT549_Varley	Triple
BT549_Daemen	Triple
HCC70_Daemen	Triple
HCC70_Varley	Triple
HCC1143_Daemen	Triple
HCC1143_Varley	Triple
HCC1806_Daemen	Triple
HCC1937_Daemen	Triple
HCC1937_Varley	Triple
HS578T_Daemen	Triple
MCF7_Daemen	NonTriple
MCF7_LNBio	NonTriple
MCF7_Varley	NonTriple
MDAMB157_Daemen	Triple
MDAMB157_Varley	Triple
MDAMB231_LNBio	Triple
MDAMB231_Varley	Triple
MDAMB231_Daemen	Triple
MDAMB436_LNBio	Triple
MDAMB436_Varley	Triple
MDAMB468_LNBio	Triple
MDAMB468_Varley	Triple
SKBR3_Daemen	NonTriple
SKBR3_LNBio	NonTriple
SKBR3_Varley	NonTriple
T47D_Daemen	NonTriple
T47D_Varley	NonTriple
ZR751_Daemen	NonTriple
ZR751_Varley	NonTriple
